N,P,K,temperature,humidity,ph,rainfall,label
69.075,53.954,88.068,17.262,72.942,4.631,302.843,Wheat
70.295,56.441,86.625,16.437,89.183,6.448,68.941,Wheat
19.498,68.836,25.208,40.941,41.906,7.541,282.847,Wheat
137.924,33.503,87.901,30.697,36.302,6.848,212.01,Wheat
20.745,82.716,68.035,12.392,67.458,8.292,316.299,Wheat
120.692,14.255,98.468,38.507,57.306,8.068,59.975,Wheat
18.872,31.167,84.252,14.292,80.194,8.05,281.876,Wheat
32.861,14.939,70.526,37.576,80.788,4.735,204.857,Wheat
21.641,49.7,48.94,21.354,92.047,4.63,221.348,Wheat
123.059,30.74,41.862,14.579,41.6,6.386,71.262,Wheat
108.001,76.019,18.981,20.086,84.073,6.85,193.595,Wheat
120.748,49.231,25.957,38.868,99.084,5.683,175.632,Wheat
21.54,78.217,19.808,43.001,74.893,5.343,318.027,Wheat
104.499,15.128,44.565,36.348,69.468,6.515,187.203,Wheat
32.255,76.611,38.182,26.835,34.817,5.425,199.381,Wheat
84.745,84.03,91.526,36.892,98.325,5.134,186.961,Wheat
63.094,38.495,35.154,19.796,67.943,6.519,117.321,Wheat
37.346,31.668,24.909,35.992,93.203,5.163,103.532,Wheat
41.175,38.231,64.073,37.193,96.109,6.384,41.976,Wheat
60.518,44.508,41.483,11.589,74.333,5.778,354.589,Wheat
26.443,41.069,61.285,41.549,45.944,7.077,23.149,Wheat
89.498,58.666,79.708,39.024,66.444,8.378,264.428,Wheat
89.527,35.008,99.939,19.647,73.792,4.82,312.27,Wheat
116.072,36.451,50.58,23.796,32.529,6.733,27.649,Wheat
77.975,29.316,59.373,14.722,89.131,7.594,142.497,Wheat
69.599,50.583,39.933,22.95,38.789,4.984,352.795,Wheat
112.587,69.044,17.471,38.611,46.278,8.031,58.236,Wheat
79.605,44.388,71.955,20.793,92.418,6.445,161.116,Wheat
86.15,26.063,76.745,19.918,84.345,5.326,297.885,Wheat
44.277,12.466,48.251,33.234,41.173,8.304,138.763,Wheat
15.489,26.796,25.846,29.104,95.422,4.95,169.64,Wheat
49.547,8.843,11.095,31.872,33.209,5.658,330.257,Wheat
73.474,57.78,11.397,29.238,39.468,4.735,399.587,Wheat
48.721,52.578,57.283,10.958,75.396,7.739,206.631,Wheat
103.0,74.365,23.322,34.652,61.34,7.757,223.819,Wheat
85.98,7.645,13.072,13.788,74.844,5.17,56.984,Wheat
110.694,20.312,76.368,40.946,86.163,4.613,178.478,Wheat
40.887,25.202,83.42,15.452,71.583,8.326,362.344,Wheat
146.13,9.331,46.194,22.408,92.152,5.156,318.19,Wheat
88.671,78.258,20.472,21.881,34.269,6.71,285.441,Wheat
9.661,66.861,28.699,43.292,99.123,6.477,282.007,Wheat
84.948,46.101,17.808,17.704,43.829,5.014,336.83,Wheat
107.199,14.278,30.679,13.819,59.307,7.596,251.091,Wheat
148.554,76.391,38.073,29.162,71.175,8.111,229.418,Wheat
125.189,49.301,84.818,37.298,62.551,6.986,356.085,Wheat
139.441,22.481,35.002,20.302,36.706,6.376,132.469,Wheat
148.07,16.462,86.538,33.717,95.911,4.512,394.649,Wheat
36.78,43.867,98.165,11.164,59.374,6.496,377.331,Wheat
7.786,19.59,37.875,43.65,73.174,4.539,132.841,Wheat
127.773,52.09,38.363,10.529,42.072,8.273,111.755,Wheat
120.738,54.521,19.836,12.549,74.122,6.085,190.488,Wheat
67.444,18.082,12.944,11.584,55.701,5.974,360.424,Wheat
52.794,39.806,39.355,33.19,91.033,7.171,125.131,Wheat
138.409,40.234,31.181,10.86,53.902,7.703,377.748,Wheat
63.833,85.966,53.363,15.581,95.615,5.672,277.555,Wheat
58.135,22.065,70.199,40.531,69.566,6.224,121.706,Wheat
53.771,43.609,77.375,31.326,67.212,6.322,273.863,Wheat
64.102,10.791,41.274,41.973,83.157,4.771,286.705,Wheat
34.402,34.328,39.987,23.262,76.208,5.601,269.04,Wheat
7.35,51.05,89.698,29.644,95.4,6.302,63.057,Wheat
24.005,87.072,84.889,35.569,32.732,5.953,50.424,Wheat
126.578,45.087,19.294,26.852,87.019,7.546,113.314,Wheat
110.517,54.166,52.268,16.06,52.773,7.505,322.319,Wheat
47.562,26.434,44.568,15.066,59.968,6.286,48.663,Wheat
47.049,77.553,81.502,29.727,70.178,7.614,306.356,Wheat
78.741,55.451,93.322,19.782,77.042,5.846,157.563,Wheat
16.357,12.183,32.833,20.134,87.668,6.918,387.885,Wheat
22.814,87.377,94.657,34.89,55.089,7.869,156.213,Wheat
36.521,58.991,56.773,17.97,88.33,6.088,132.067,Wheat
21.338,84.351,69.092,15.573,83.245,6.122,310.52,Wheat
143.442,27.836,64.013,26.613,87.843,5.141,100.342,Wheat
55.166,5.999,33.225,12.28,54.34,4.541,144.938,Wheat
83.784,36.072,96.96,11.669,70.87,4.662,159.622,Wheat
145.613,77.358,21.662,16.419,80.083,6.393,211.614,Wheat
66.331,57.812,57.569,19.576,53.385,4.685,160.085,Wheat
136.972,87.324,26.882,11.871,67.306,5.823,284.629,Wheat
105.389,87.168,67.781,14.168,65.417,5.587,359.725,Wheat
144.642,16.69,36.224,20.395,46.841,6.194,241.977,Wheat
5.518,45.342,59.48,15.318,31.674,8.181,35.579,Wheat
91.606,19.054,74.867,39.697,97.33,7.915,198.047,Wheat
131.615,48.514,87.299,44.519,32.561,5.088,320.67,Wheat
13.227,13.055,94.934,16.188,59.563,5.582,304.813,Wheat
97.335,40.404,28.884,43.86,78.218,6.518,23.703,Wheat
97.156,29.575,54.999,43.886,83.41,6.175,144.112,Wheat
131.929,52.803,65.402,18.835,78.855,7.143,367.833,Wheat
128.272,33.374,64.368,32.508,61.813,6.346,53.991,Wheat
35.759,21.47,29.54,41.467,71.268,6.004,73.638,Wheat
94.539,29.39,71.801,10.775,62.178,5.856,330.164,Wheat
79.091,13.663,25.921,36.06,58.283,4.84,188.122,Wheat
47.767,60.627,23.319,43.022,68.807,4.59,230.638,Wheat
118.836,86.732,80.571,36.287,42.841,5.212,45.173,Wheat
27.61,66.638,71.835,29.46,36.161,5.417,365.824,Wheat
5.404,67.252,39.434,14.771,66.962,7.805,148.588,Wheat
55.452,38.738,38.062,18.342,94.068,6.71,334.905,Wheat
41.754,26.046,56.885,12.626,55.692,6.885,239.749,Wheat
86.953,81.654,90.59,17.895,76.75,5.518,90.55,Wheat
119.25,76.451,36.26,19.009,44.781,6.223,194.367,Wheat
15.407,50.334,80.843,32.915,33.655,6.619,59.575,Wheat
66.488,22.783,22.337,41.917,78.111,7.894,147.779,Wheat
101.588,54.646,76.933,31.838,69.04,6.915,127.273,Wheat
106.84,68.533,79.896,15.316,66.455,8.187,370.884,Wheat
94.42,61.814,34.575,37.446,49.396,7.384,276.881,Wheat
82.237,28.929,86.873,32.96,74.39,6.499,102.979,Wheat
33.423,66.738,64.566,42.651,93.945,6.595,191.379,Wheat
29.262,76.272,35.041,40.591,60.664,8.408,291.733,Wheat
95.539,14.562,49.104,13.057,44.497,5.502,393.564,Wheat
131.233,48.956,69.181,26.201,54.465,6.745,319.24,Wheat
108.647,74.663,59.622,13.959,78.178,5.113,386.137,Wheat
120.612,74.158,42.303,19.411,94.878,7.821,321.125,Wheat
71.043,82.546,17.038,18.723,89.277,4.624,234.822,Wheat
38.53,27.103,81.35,26.705,64.606,4.655,96.194,Wheat
129.911,50.359,46.595,22.678,55.057,4.933,197.8,Wheat
75.534,37.055,79.888,28.585,63.502,6.274,255.833,Wheat
117.821,16.6,99.516,28.552,51.911,4.82,162.666,Wheat
7.759,50.135,72.712,21.743,97.796,7.761,294.906,Wheat
141.344,58.258,69.643,10.921,74.801,5.557,334.935,Wheat
117.497,47.397,31.047,19.985,45.019,8.278,322.455,Wheat
79.97,82.034,10.803,35.665,83.236,5.493,130.983,Wheat
36.194,64.911,88.853,10.632,85.905,4.588,390.459,Wheat
45.899,73.851,11.161,42.167,38.559,7.19,379.71,Wheat
80.728,63.633,29.62,20.957,44.77,5.287,224.918,Wheat
60.461,88.792,62.538,38.282,95.255,7.172,266.176,Wheat
113.082,87.132,42.557,26.288,71.016,8.28,190.893,Wheat
69.232,58.5,27.831,16.647,37.987,4.568,350.163,Wheat
109.292,85.978,52.182,19.664,60.491,7.284,60.886,Wheat
24.785,32.59,49.716,37.984,60.047,7.929,146.623,Wheat
132.961,18.894,71.583,32.703,36.465,6.107,175.062,Wheat
144.99,40.524,38.046,11.983,47.689,6.685,96.658,Wheat
45.292,51.066,60.482,25.198,98.297,7.808,173.307,Wheat
135.005,74.027,34.802,21.637,85.924,4.587,105.046,Wheat
32.603,19.913,37.272,32.795,64.375,7.091,185.581,Wheat
46.007,53.659,42.1,34.7,67.884,6.393,183.907,Wheat
117.761,75.591,51.409,32.727,52.017,4.712,289.621,Wheat
30.807,22.385,38.482,41.4,62.168,7.025,274.074,Wheat
120.751,8.219,56.952,14.788,50.758,7.53,279.079,Wheat
34.63,51.003,79.984,24.76,50.755,7.903,96.35,Wheat
72.347,28.906,16.509,12.019,55.968,6.135,168.925,Wheat
74.833,75.029,44.04,29.444,80.97,6.547,399.251,Wheat
113.29,58.917,99.72,41.777,37.901,7.668,156.08,Wheat
106.775,17.886,72.405,32.39,91.218,5.602,87.369,Wheat
63.162,52.802,26.926,40.299,50.845,8.413,127.504,Wheat
51.922,33.56,52.4,22.253,36.78,6.733,385.266,Wheat
60.69,33.569,25.393,11.839,53.969,5.24,62.971,Wheat
60.612,51.483,79.748,14.343,86.978,6.951,259.578,Wheat
121.82,19.845,91.152,15.766,37.481,5.071,109.054,Wheat
8.512,46.949,73.79,43.972,72.719,6.22,30.586,Wheat
114.105,72.585,14.604,27.404,82.736,6.574,179.978,Wheat
102.975,16.033,88.493,11.298,31.756,6.147,102.239,Wheat
78.69,37.748,75.162,13.972,69.641,6.267,188.998,Wheat
114.378,62.009,48.572,34.763,38.956,7.474,146.388,Wheat
33.871,57.563,80.804,41.172,93.162,4.561,132.807,Wheat
78.956,62.019,99.248,20.458,87.36,8.154,143.242,Wheat
89.811,42.274,30.976,44.745,79.433,7.053,365.889,Wheat
62.816,84.982,93.243,42.912,78.444,4.963,299.826,Wheat
106.235,68.2,80.786,23.117,61.602,8.397,151.803,Wheat
21.886,72.063,74.462,30.262,58.119,4.642,198.586,Wheat
73.405,11.202,53.978,29.292,35.586,5.155,99.247,Wheat
149.237,57.099,82.275,21.352,64.165,6.059,183.252,Wheat
28.8,10.629,61.835,19.805,31.586,4.96,51.038,Wheat
101.102,67.891,97.686,11.421,78.75,6.988,274.907,Wheat
135.487,71.48,63.348,10.164,33.839,8.259,249.151,Wheat
106.571,17.593,65.573,32.893,68.895,6.428,307.571,Wheat
